Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,80.000,100.000,0.000
56.000,70.000,80.000,93.133,0.700
112.000,135.193,80.000,86.266,1.400
168.000,195.579,80.000,79.399,2.100
224.000,251.159,80.000,72.532,2.800
280.000,301.931,80.000,65.665,3.500
336.000,347.896,80.000,58.798,4.200
392.000,389.055,80.000,51.931,4.900
448.000,425.407,80.000,45.064,5.600
504.000,456.952,80.000,38.197,6.300
560.000,483.689,80.000,31.330,7.000
616.000,505.620,80.000,24.463,7.700
672.000,522.745,80.000,17.596,8.400
728.000,535.062,80.000,10.729,9.100
784.000,542.572,80.000,3.862,9.800
840.000,545.275,80.000,-3.005,10.500
896.000,543.172,80.000,-9.872,11.200
952.000,536.262,80.000,-16.739,11.900
1008.000,524.544,80.000,-23.606,12.600
1064.000,508.020,80.000,-30.473,13.300
1120.000,486.689,80.000,-37.340,14.000
1176.000,460.551,80.000,-44.207,14.700
1232.000,429.606,80.000,-51.074,15.400
1288.000,393.854,80.000,-57.941,16.100
1344.000,353.296,80.000,-64.808,16.800
1400.000,307.930,80.000,-71.675,17.500
1456.000,257.757,80.000,-78.542,18.200
1512.000,202.778,80.000,-85.409,18.900
1568.000,142.992,80.000,-92.276,19.600
1624.000,78.399,80.000,-99.143,20.300
1680.000,8.998,80.000,-106.010,21.000
