Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,80.000,100.000,0.000
48.000,60.000,80.000,94.114,0.600
96.000,116.468,80.000,88.228,1.200
144.000,169.405,80.000,82.342,1.800
192.000,218.810,80.000,76.456,2.400
240.000,264.684,80.000,70.570,3.000
288.000,307.026,80.000,64.684,3.600
336.000,345.836,80.000,58.798,4.200
384.000,381.115,80.000,52.912,4.800
432.000,412.862,80.000,47.026,5.400
480.000,441.078,80.000,41.140,6.000
528.000,465.762,80.000,35.254,6.600
576.000,486.914,80.000,29.368,7.200
624.000,504.535,80.000,23.482,7.800
672.000,518.624,80.000,17.596,8.400
720.000,529.182,80.000,11.710,9.000
768.000,536.208,80.000,5.824,9.600
816.000,539.702,80.000,-0.062,10.200
864.000,539.665,80.000,-5.948,10.800
912.000,536.096,80.000,-11.834,11.400
960.000,528.996,80.000,-17.720,12.000
1008.000,518.364,80.000,-23.606,12.600
1056.000,504.200,80.000,-29.492,13.200
1104.000,486.505,80.000,-35.378,13.800
1152.000,465.278,80.000,-41.264,14.400
1200.000,440.520,80.000,-47.150,15.000
1248.000,412.230,80.000,-53.036,15.600
1296.000,380.408,80.000,-58.922,16.200
1344.000,345.055,80.000,-64.808,16.800
1392.000,306.170,80.000,-70.694,17.400
1440.000,263.754,80.000,-76.580,18.000
1488.000,217.806,80.000,-82.466,18.600
1536.000,168.326,80.000,-88.352,19.200
1584.000,115.315,80.000,-94.238,19.800
1632.000,58.772,80.000,-100.124,20.400
