Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,100.000,100.000,0.000
49.996,48.769,99.983,95.078,0.500
99.983,95.078,99.966,90.157,1.000
149.961,138.926,99.949,85.236,1.500
199.931,180.314,99.931,80.316,2.000
249.893,219.243,99.914,75.398,2.500
299.846,255.712,99.897,70.480,3.000
349.790,289.723,99.880,65.563,3.500
399.725,321.275,99.863,60.646,4.000
449.652,350.369,99.846,55.731,4.500
499.571,377.006,99.828,50.816,5.000
549.481,401.186,99.811,45.903,5.500
599.382,422.909,99.794,40.990,6.000
649.275,442.176,99.777,36.078,6.500
699.159,458.987,99.760,31.166,7.000
749.035,473.342,99.743,26.256,7.500
798.902,485.243,99.726,21.347,8.000
848.761,494.689,99.709,16.438,8.500
898.611,501.681,99.691,11.530,9.000
948.452,506.219,99.674,6.623,9.500
998.285,508.305,99.657,1.717,10.000
1048.109,507.937,99.640,-3.188,10.500
1097.925,505.116,99.623,-8.093,11.000
1147.732,499.844,99.606,-12.996,11.500
1197.531,492.120,99.589,-17.899,12.000
1247.321,481.945,99.572,-22.801,12.500
1297.102,469.319,99.555,-27.702,13.000
1346.875,454.243,99.537,-32.602,13.500
1396.640,436.717,99.520,-37.502,14.000
1446.396,416.742,99.503,-42.400,14.500
1496.143,394.317,99.486,-47.298,15.000
1545.882,369.444,99.469,-52.195,15.500
1595.612,342.122,99.452,-57.091,16.000
1645.334,312.353,99.435,-61.986,16.500
1695.047,280.137,99.418,-66.881,17.000
1744.752,245.473,99.401,-71.774,17.500
1794.448,208.363,99.384,-76.667,18.000
1844.136,168.806,99.367,-81.559,18.500
1893.815,126.804,99.350,-86.450,19.000
1943.485,82.357,99.333,-91.340,19.500
1993.147,35.465,99.316,-96.229,20.000
