Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,2000.000,2000.000,0.000
1999.657,1994.752,1999.313,1989.503,1.000
3998.627,3979.008,1998.627,1979.010,2.000
5996.910,5952.774,1997.940,1968.520,3.000
7994.507,7916.051,1997.254,1958.035,4.000
9991.419,9868.844,1996.568,1947.552,5.000
11987.644,11811.157,1995.883,1937.073,6.000
13983.185,13742.993,1995.198,1926.598,7.000
15978.040,15664.355,1994.512,1916.127,8.000
17972.210,17575.248,1993.827,1905.659,9.000
19965.695,19475.674,1993.143,1895.194,10.000
21958.495,21365.638,1992.458,1884.733,11.000
23950.612,23245.143,1991.774,1874.276,12.000
25942.044,25114.193,1991.090,1863.823,13.000
27932.792,26972.790,1990.407,1853.373,14.000
29922.857,28820.940,1989.723,1842.926,15.000
31912.238,30658.645,1989.040,1832.483,16.000
33900.937,32485.908,1988.357,1822.044,17.000
35888.952,34302.735,1987.674,1811.608,18.000
37876.285,36109.127,1986.991,1801.176,19.000
39862.935,37905.089,1986.309,1790.748,20.000
41848.903,39690.625,1985.627,1780.323,21.000
43834.189,41465.737,1984.945,1769.902,22.000
45818.794,43230.430,1984.264,1759.484,23.000
47802.717,44984.706,1983.582,1749.070,24.000
49785.958,46728.571,1982.901,1738.659,25.000
51768.519,48462.026,1982.220,1728.252,26.000
53750.399,50185.076,1981.540,1717.849,27.000
55731.598,51897.725,1980.859,1707.449,28.000
57712.117,53599.976,1980.179,1697.052,29.000
59691.956,55291.832,1979.499,1686.660,30.000
61671.115,56973.297,1978.819,1676.270,31.000
63649.595,58644.374,1978.140,1665.885,32.000
65627.395,60305.068,1977.460,1655.503,33.000
67604.515,61955.381,1976.781,1645.124,34.000
69580.957,63595.318,1976.103,1634.749,35.000
71556.721,65224.882,1975.424,1624.378,36.000
73531.806,66844.076,1974.746,1614.010,37.000
75506.212,68452.904,1974.068,1603.646,38.000
77479.941,70051.370,1973.390,1593.285,39.000
79452.992,71639.476,1972.712,1582.928,40.000
81425.365,73217.228,1972.035,1572.575,41.000
83397.061,74784.627,1971.357,1562.225,42.000
85368.080,76341.679,1970.680,1551.878,43.000
87338.422,77888.385,1970.004,1541.535,44.000
89308.088,79424.751,1969.327,1531.196,45.000
91277.077,80950.779,1968.651,1520.860,46.000
93245.390,82466.473,1967.975,1510.528,47.000
95213.027,83971.837,1967.299,1500.199,48.000
97179.988,85466.873,1966.624,1489.874,49.000
99146.274,86951.586,1965.948,1479.552,50.000
101111.885,88425.980,1965.273,1469.234,51.000
103076.821,89890.057,1964.598,1458.920,52.000
105041.082,91343.821,1963.924,1448.609,53.000
107004.669,92787.276,1963.249,1438.301,54.000
108967.581,94220.426,1962.575,1427.998,55.000
110929.820,95643.273,1961.901,1417.697,56.000
112891.384,97055.822,1961.228,1407.400,57.000
114852.275,98458.076,1960.554,1397.107,58.000
116812.493,99850.038,1959.881,1386.817,59.000
118772.037,101231.712,1959.208,1376.531,60.000
120730.909,102603.102,1958.535,1366.248,61.000
122689.108,103964.210,1957.863,1355.969,62.000
124646.634,105315.042,1957.190,1345.694,63.000
126603.488,106655.599,1956.518,1335.422,64.000
128559.671,107985.887,1955.846,1325.153,65.000
130515.181,109305.907,1955.175,1314.888,66.000
132470.020,110615.664,1954.503,1304.626,67.000
134424.188,111915.162,1953.832,1294.368,68.000
136377.685,113204.403,1953.161,1284.114,69.000
138330.511,114483.391,1952.491,1273.863,70.000
140282.667,115752.130,1951.820,1263.616,71.000
142234.152,117010.624,1951.150,1253.372,72.000
144184.967,118258.875,1950.480,1243.131,73.000
146135.112,119496.888,1949.810,1232.894,74.000
148084.587,120724.666,1949.141,1222.661,75.000
150033.393,121942.212,1948.471,1212.431,76.000
151981.530,123149.530,1947.802,1202.205,77.000
153928.998,124346.623,1947.133,1191.982,78.000
155875.797,125533.496,1946.465,1181.763,79.000
157821.927,126710.150,1945.796,1171.547,80.000
159767.389,127876.591,1945.128,1161.335,81.000
161712.184,129032.821,1944.460,1151.126,82.000
163656.310,130178.845,1943.793,1140.920,83.000
165599.769,131314.664,1943.125,1130.719,84.000
167542.560,132440.284,1942.458,1120.520,85.000
169484.685,133555.707,1941.791,1110.326,86.000
171426.142,134660.937,1941.124,1100.134,87.000
173366.933,135755.977,1940.457,1089.947,88.000
175307.057,136840.832,1939.791,1079.762,89.000
177246.515,137915.504,1939.125,1069.582,90.000
179185.307,138979.997,1938.459,1059.404,91.000
181123.433,140034.314,1937.793,1049.230,92.000
183060.894,141078.459,1937.128,1039.060,93.000
184997.690,142112.436,1936.463,1028.893,94.000
186933.820,143136.248,1935.798,1018.730,95.000
188869.286,144149.898,1935.133,1008.570,96.000
190804.087,145153.390,1934.469,998.414,97.000
192738.223,146146.728,1933.804,988.261,98.000
194671.696,147129.914,1933.140,978.112,99.000
196604.504,148102.953,1932.477,967.966,100.000
198536.649,149065.848,1931.813,957.823,101.000
200468.130,150018.602,1931.150,947.685,102.000
202398.948,150961.218,1930.486,937.549,103.000
204329.103,151893.702,1929.824,927.417,104.000
206258.595,152816.054,1929.161,917.289,105.000
208187.425,153728.281,1928.498,907.164,106.000
210115.592,154630.384,1927.836,897.042,107.000
212043.097,155522.367,1927.174,886.924,108.000
213969.941,156404.234,1926.512,876.810,109.000
215896.122,157275.988,1925.851,866.699,110.000
217821.643,158137.633,1925.190,856.591,111.000
219746.502,158989.172,1924.528,846.487,112.000
221670.700,159830.608,1923.868,836.386,113.000
223594.237,160661.945,1923.207,826.289,114.000
225517.114,161483.188,1922.547,816.195,115.000
227439.330,162294.338,1921.886,806.105,116.000
229360.887,163095.399,1921.226,796.018,117.000
231281.783,163886.375,1920.567,785.935,118.000
233202.020,164667.270,1919.907,775.855,119.000
235121.598,165438.087,1919.248,765.778,120.000
237040.516,166198.829,1918.589,755.705,121.000
238958.775,166949.500,1917.930,745.636,122.000
240876.376,167690.103,1917.271,735.570,123.000
242793.319,168420.641,1916.613,725.507,124.000
244709.603,169141.119,1915.955,715.448,125.000
246625.229,169851.539,1915.297,705.393,126.000
248540.197,170551.906,1914.639,695.340,127.000
250454.507,171242.222,1913.982,685.292,128.000
252368.161,171922.491,1913.325,675.246,129.000
254281.157,172592.716,1912.668,665.204,130.000
256193.496,173252.901,1912.011,655.166,131.000
258105.178,173903.049,1911.354,645.131,132.000
260016.204,174543.165,1910.698,635.099,133.000
261926.574,175173.250,1910.042,625.071,134.000
263836.288,175793.309,1909.386,615.047,135.000
265745.346,176403.345,1908.730,605.025,136.000
267653.749,177003.362,1908.075,595.008,137.000
269561.496,177593.362,1907.420,584.993,138.000
271468.588,178173.350,1906.765,574.983,139.000
273375.025,178743.329,1906.110,564.975,140.000
275280.808,179303.302,1905.455,554.971,141.000
277185.936,179853.273,1904.801,544.971,142.000
279090.410,180393.245,1904.147,534.973,143.000
280994.230,180923.221,1903.493,524.980,144.000
282897.396,181443.206,1902.839,514.989,145.000
284799.909,181953.202,1902.186,505.003,146.000
286701.768,182453.213,1901.533,495.019,147.000
288602.975,182943.242,1900.880,485.039,148.000
290503.528,183423.293,1900.227,475.063,149.000
292403.429,183893.369,1899.575,465.089,150.000
294302.677,184353.473,1898.922,455.120,151.000
296201.274,184803.610,1898.270,445.153,152.000
298099.218,185243.782,1897.618,435.191,153.000
299996.511,185673.993,1896.967,425.231,154.000
301893.152,186094.246,1896.315,415.275,155.000
303789.141,186504.545,1895.664,405.323,156.000
305684.480,186904.893,1895.013,395.373,157.000
307579.168,187295.294,1894.363,385.428,158.000
309473.205,187675.750,1893.712,375.485,159.000
311366.592,188046.266,1893.062,365.546,160.000
313259.329,188406.844,1892.412,355.611,161.000
315151.416,188757.489,1891.762,345.679,162.000
317042.853,189098.203,1891.112,335.750,163.000
318933.640,189428.991,1890.463,325.825,164.000
320823.778,189749.854,1889.814,315.903,165.000
322713.268,190060.798,1889.165,305.984,166.000
324602.108,190361.825,1888.516,296.069,167.000
326490.300,190652.938,1887.868,286.158,168.000
328377.843,190934.142,1887.219,276.249,169.000
330264.738,191205.439,1886.571,266.344,170.000
332150.986,191466.832,1885.923,256.443,171.000
334036.585,191718.326,1885.276,246.545,172.000
335921.537,191959.924,1884.628,236.650,173.000
337805.842,192191.629,1883.981,226.759,174.000
339689.500,192413.444,1883.334,216.871,175.000
341572.511,192625.373,1882.688,206.987,176.000
343454.875,192827.419,1882.041,197.106,177.000
345336.593,193019.585,1881.395,187.228,178.000
347217.665,193201.876,1880.749,177.354,179.000
349098.090,193374.294,1880.103,167.483,180.000
350977.871,193536.843,1879.457,157.615,181.000
352857.005,193689.527,1878.812,147.751,182.000
354735.494,193832.347,1878.167,137.890,183.000
356613.339,193965.309,1877.522,128.033,184.000
358490.538,194088.415,1876.877,118.179,185.000
360367.093,194201.669,1876.233,108.328,186.000
362243.003,194305.074,1875.588,98.481,187.000
364118.270,194398.633,1874.944,88.637,188.000
365992.892,194482.350,1874.300,78.797,189.000
367866.871,194556.229,1873.657,68.960,190.000
369740.206,194620.272,1873.013,59.126,191.000
371612.898,194674.483,1872.370,49.296,192.000
373484.946,194718.865,1871.727,39.469,193.000
375356.352,194753.423,1871.085,29.645,194.000
377227.116,194778.158,1870.442,19.825,195.000
379097.237,194793.075,1869.800,10.008,196.000
380966.715,194798.177,1869.158,0.195,197.000
382835.552,194793.467,1868.516,-9.615,198.000
384703.747,194778.948,1867.874,-19.422,199.000
386571.301,194754.625,1867.233,-29.225,200.000
388438.213,194720.500,1866.592,-39.025,201.000
390304.484,194676.577,1865.951,-48.822,202.000
392170.114,194622.858,1865.310,-58.615,203.000
394035.104,194559.349,1864.669,-68.405,204.000
395899.453,194486.051,1864.029,-78.191,205.000
397763.162,194402.968,1863.389,-87.974,206.000
399626.231,194310.104,1862.749,-97.754,207.000
401488.660,194207.461,1862.109,-107.531,208.000
403350.450,194095.044,1861.470,-117.304,209.000
405211.601,193972.856,1860.831,-127.073,210.000
407072.112,193840.899,1860.192,-136.840,211.000
408931.984,193699.178,1859.553,-146.603,212.000
410791.218,193547.695,1858.915,-156.362,213.000
412649.813,193386.455,1858.276,-166.119,214.000
414507.771,193215.459,1857.638,-175.872,215.000
416365.090,193034.713,1857.000,-185.621,216.000
418221.771,192844.219,1856.363,-195.368,217.000
420077.815,192643.980,1855.725,-205.110,218.000
421933.221,192433.999,1855.088,-214.850,219.000
423787.991,192214.281,1854.451,-224.586,220.000
425642.123,191984.828,1853.814,-234.319,221.000
427495.619,191745.645,1853.177,-244.049,222.000
429348.478,191496.733,1852.541,-253.775,223.000
431200.701,191238.096,1851.905,-263.498,224.000
433052.288,190969.739,1851.269,-273.217,225.000
434903.239,190691.664,1850.633,-282.933,226.000
436753.555,190403.874,1849.998,-292.646,227.000
438603.235,190106.373,1849.363,-302.356,228.000
440452.280,189799.164,1848.727,-312.062,229.000
442300.690,189482.251,1848.093,-321.765,230.000
444148.465,189155.636,1847.458,-331.464,231.000
445995.606,188819.324,1846.824,-341.160,232.000
447842.113,188473.317,1846.189,-350.853,233.000
449687.985,188117.619,1845.555,-360.543,234.000
451533.224,187752.233,1844.922,-370.229,235.000
453377.829,187377.162,1844.288,-379.912,236.000
455221.800,186992.411,1843.655,-389.591,237.000
457065.139,186597.981,1843.022,-399.268,238.000
458907.844,186193.877,1842.389,-408.941,239.000
460749.917,185780.102,1841.756,-418.610,240.000
462591.357,185356.658,1841.124,-428.276,241.000
464432.164,184923.550,1840.492,-437.939,242.000
466272.340,184480.781,1839.860,-447.599,243.000
468111.884,184028.354,1839.228,-457.255,244.000
469950.796,183566.272,1838.596,-466.908,245.000
471789.076,183094.539,1837.965,-476.558,246.000
473626.726,182613.158,1837.334,-486.204,247.000
475463.744,182122.133,1836.703,-495.847,248.000
477300.132,181621.465,1836.072,-505.487,249.000
479135.888,181111.160,1835.442,-515.123,250.000
480971.015,180591.220,1834.811,-524.757,251.000
482805.511,180061.649,1834.181,-534.386,252.000
484639.378,179522.449,1833.552,-544.013,253.000
486472.614,178973.625,1832.922,-553.636,254.000
488305.222,178415.179,1832.292,-563.256,255.000
490137.200,177847.114,1831.663,-572.873,256.000
491968.548,177269.435,1831.034,-582.486,257.000
493799.268,176682.144,1830.406,-592.096,258.000
495629.360,176085.245,1829.777,-601.702,259.000
