Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,1000.000,1000.000,0.000
5000.000,5000.000,998.283,949.233,5.000
9991.415,9746.165,996.569,898.553,10.000
14974.261,14238.932,994.858,847.961,15.000
19948.551,18478.734,993.150,797.455,20.000
24914.300,22466.007,991.445,747.035,25.000
29871.523,26201.184,989.742,696.703,30.000
34820.236,29684.698,988.043,646.457,35.000
39760.451,32916.981,986.347,596.297,40.000
44692.185,35898.465,984.653,546.223,45.000
49615.451,38629.579,982.963,496.235,50.000
54530.264,41110.754,981.275,446.333,55.000
59436.638,43342.419,979.590,396.517,60.000
64334.589,45325.002,977.908,346.786,65.000
69224.130,47058.932,976.229,297.140,70.000
74105.275,48544.634,974.553,247.580,75.000
78978.041,49782.536,972.880,198.105,80.000
83842.440,50773.062,971.209,148.715,85.000
88698.487,51516.637,969.542,99.410,90.000
93546.196,52013.686,967.877,50.189,95.000
98385.583,52264.631,966.215,1.053,100.000
103216.660,52269.896,964.557,-47.999,105.000
108039.442,52029.901,962.900,-96.967,110.000
112853.944,51545.069,961.247,-145.850,115.000
117660.180,50815.818,959.597,-194.650,120.000
122458.164,49842.570,957.949,-243.365,125.000
127247.910,48625.743,956.304,-291.998,130.000
132029.432,47165.756,954.663,-340.546,135.000
136802.745,45463.025,953.023,-389.012,140.000
141567.862,43517.967,951.387,-437.394,145.000
146324.798,41330.999,949.754,-485.693,150.000
151073.566,38902.536,948.123,-533.909,155.000
155814.181,36232.992,946.495,-582.042,160.000
160546.656,33322.782,944.870,-630.093,165.000
165271.006,30172.319,943.248,-678.061,170.000
169987.245,26782.015,941.628,-725.947,175.000
174695.386,23152.281,940.011,-773.750,180.000
179395.444,19283.530,938.398,-821.472,185.000
184087.431,15176.171,936.786,-869.111,190.000
188771.363,10830.615,935.178,-916.669,195.000
193447.253,6247.269,933.572,-964.145,200.000
198115.114,1426.543,931.969,-1011.540,205.000
