Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,2000.000,2000.000,0.000
199.997,199.948,1999.931,1998.950,0.100
399.986,399.790,1999.863,1997.901,0.200
599.969,599.528,1999.794,1996.851,0.300
799.945,799.160,1999.725,1995.802,0.400
999.914,998.688,1999.657,1994.752,0.500
1199.876,1198.111,1999.588,1993.702,0.600
1399.832,1397.428,1999.519,1992.653,0.700
1599.780,1596.641,1999.451,1991.604,0.800
1799.722,1795.749,1999.382,1990.554,0.900
1999.657,1994.752,1999.313,1989.505,1.000
2199.585,2193.650,1999.245,1988.456,1.100
2399.506,2392.443,1999.176,1987.406,1.200
2599.420,2591.131,1999.107,1986.357,1.300
2799.327,2789.715,1999.039,1985.308,1.400
2999.227,2988.193,1998.970,1984.259,1.500
3199.121,3186.566,1998.901,1983.209,1.600
3399.008,3384.835,1998.833,1982.160,1.700
3598.888,3582.998,1998.764,1981.111,1.800
3798.761,3781.057,1998.696,1980.062,1.900
3998.627,3979.011,1998.627,1979.013,2.000
4198.486,4176.860,1998.558,1977.964,2.100
4398.338,4374.604,1998.490,1976.915,2.200
4598.184,4572.243,1998.421,1975.867,2.300
4798.023,4769.777,1998.352,1974.818,2.400
4997.854,4967.206,1998.284,1973.769,2.500
5197.679,5164.531,1998.215,1972.720,2.600
5397.497,5361.750,1998.147,1971.671,2.700
5597.309,5558.865,1998.078,1970.623,2.800
5797.113,5755.875,1998.009,1969.574,2.900
5996.911,5952.780,1997.941,1968.525,3.000
6196.701,6149.580,1997.872,1967.477,3.100
6396.485,6346.275,1997.803,1966.428,3.200
6596.262,6542.866,1997.735,1965.380,3.300
6796.032,6739.351,1997.666,1964.331,3.400
6995.795,6935.732,1997.598,1963.283,3.500
7195.551,7132.008,1997.529,1962.234,3.600
7395.301,7328.179,1997.460,1961.186,3.700
7595.044,7524.245,1997.392,1960.138,3.800
7794.779,7720.206,1997.323,1959.089,3.900
7994.508,7916.063,1997.255,1958.041,4.000
8194.230,8111.814,1997.186,1956.993,4.100
8393.945,8307.461,1997.118,1955.945,4.200
8593.654,8503.003,1997.049,1954.896,4.300
8793.355,8698.441,1996.980,1953.848,4.400
8993.050,8893.773,1996.912,1952.800,4.500
9192.738,9089.001,1996.843,1951.752,4.600
9392.418,9284.123,1996.775,1950.704,4.700
9592.093,9479.141,1996.706,1949.656,4.800
9791.760,9674.055,1996.638,1948.608,4.900
9991.420,9868.863,1996.569,1947.560,5.000
10191.074,10063.567,1996.500,1946.512,5.100
10390.720,10258.166,1996.432,1945.465,5.200
10590.360,10452.660,1996.363,1944.417,5.300
10789.993,10647.049,1996.295,1943.369,5.400
10989.619,10841.333,1996.226,1942.321,5.500
11189.238,11035.513,1996.158,1941.274,5.600
11388.850,11229.588,1996.089,1940.226,5.700
11588.456,11423.558,1996.021,1939.178,5.800
11788.054,11617.424,1995.952,1938.131,5.900
11987.646,11811.184,1995.884,1937.083,6.000
12187.231,12004.840,1995.815,1936.036,6.100
12386.809,12198.392,1995.746,1934.988,6.200
12586.380,12391.838,1995.678,1933.941,6.300
12785.945,12585.180,1995.609,1932.893,6.400
12985.502,12778.417,1995.541,1931.846,6.500
13185.053,12971.549,1995.472,1930.799,6.600
13384.597,13164.576,1995.404,1929.751,6.700
13584.134,13357.499,1995.335,1928.704,6.800
13783.664,13550.317,1995.267,1927.657,6.900
13983.187,13743.030,1995.198,1926.610,7.000
14182.704,13935.639,1995.130,1925.562,7.100
14382.213,14128.143,1995.061,1924.515,7.200
14581.716,14320.542,1994.993,1923.468,7.300
14781.212,14512.837,1994.924,1922.421,7.400
