Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,1000.000,1000.000,0.000
4995.708,4873.083,998.283,949.233,5.000
9982.838,9492.548,996.569,898.553,10.000
14961.406,13858.833,994.858,847.961,15.000
19931.425,17972.371,993.150,797.455,20.000
24892.912,21833.596,991.445,747.035,25.000
29845.880,25442.941,989.742,696.703,30.000
34790.343,28800.840,988.043,646.457,35.000
39726.318,31907.723,986.347,596.297,40.000
44653.818,34764.022,984.653,546.223,45.000
49572.857,37370.166,982.963,496.235,50.000
54483.451,39726.586,981.275,446.333,55.000
59385.613,41833.711,979.590,396.517,60.000
64279.359,43691.967,977.908,346.786,65.000
69164.703,45301.783,976.229,297.140,70.000
74041.658,46663.585,974.553,247.580,75.000
78910.240,47777.799,972.880,198.105,80.000
83770.463,48644.849,971.209,148.715,85.000
88622.342,49265.162,969.542,99.410,90.000
93465.889,49639.159,967.877,50.189,95.000
98301.121,49767.263,966.215,1.053,100.000
103128.051,49649.898,964.557,-47.999,105.000
107946.693,49287.485,962.900,-96.967,110.000
112757.062,48680.443,961.247,-145.850,115.000
117559.172,47829.194,959.597,-194.650,120.000
122353.037,46734.157,957.949,-243.365,125.000
127138.671,45395.750,956.304,-291.998,130.000
131916.089,43814.390,954.663,-340.546,135.000
136685.304,41990.496,953.023,-389.012,140.000
141446.330,39924.483,951.387,-437.394,145.000
146199.182,37616.768,949.754,-485.693,150.000
150943.873,35067.764,948.123,-533.909,155.000
155680.419,32277.887,946.495,-582.042,160.000
160408.831,29247.551,944.870,-630.093,165.000
165129.126,25977.167,943.248,-678.061,170.000
169841.316,22467.148,941.628,-725.947,175.000
174545.415,18717.906,940.011,-773.750,180.000
179241.437,14729.851,938.398,-821.472,185.000
183929.397,10503.393,936.786,-869.111,190.000
188609.308,6038.942,935.178,-916.669,195.000
193281.184,1336.906,933.572,-964.145,200.000
